year,aircraft,appliances,blast,durgoods,electronics,forge,foundry,furniture,motor,ordnance,ship,transport
1958,0.9,0.8,0.2,0.9,1.3,0.5,0.6,1.3,0.5,1,1.7,1.9
1959,1.2,1.1,0.5,1.3,1.9,0.8,1.2,1.9,8,1.2,1.6,2.8
1960,1,1,0.3,1.1,1.6,0.6,0.8,1.7,0.6,1.1,1.7,2.1
1961,0.9,0.8,0.3,1,1.6,0.6,0.7,1.5,0.5,1.1,1.6,2.2
1962,1.1,1.1,0.3,1.2,1.9,0.7,1,2.1,6,1.2,1.6,2.7
1963,1,1.1,0.4,1.2,1.6,0.7,1.1,2.1,0.5,1,1.6,2.9
1964,0.9,1.2,0.6,1.3,1.7,0.8,1.4,2.4,0.7,0.9,1.8,3.6
1965,1.1,1.6,0.9,1.7,2.2,1.1,1.8,3.1,1,1.1,2.2,4.2
1966,1.6,2.4,1.1,2.4,3,1.6,2.8,4.3,1.4,1.5,2.9,5.4
1967,1.6,2,0.8,2.1,2.4,1.4,2.4,3.7,1.3,1.7,2.4,4.9
1968,1.5,2.1,1.1,2.2,2.4,1.4,2.7,4.1,1.3,1.9,2.7,5.4
1969,1.3,2.5,1.3,2.5,2.7,1.8,3.4,4.5,1.6,1.8,3,5.6
1970,0.8,2,1.1,1.8,1.9,1.2,2.4,3.2,1.1,1.1,2.2,4.2
1971,0.6,1.4,0.7,1.5,1.5,0.9,1.5,3,8,0.8,2,3.6
1972,0.7,1.8,0.6,1.9,2.2,1,2,4,1,0.9,2.1,4.9
1973,0.9,2.5,0.9,2.4,3,1.5,2.9,4.9,1.3,1.1,2.7,5.6
1974,0.8,2.1,0.7,2,2.5,1.6,2.6,4,1.1,0.9,2.6,4.2
