year,aircraft,appliances,blast,durgoods,electronics,forge,foundry,furniture,motor,ordnance,ship,transport
1958,0.67,0.76,0.81,0.75,0.75,0.79,0.85,0.83,0.75,0.52,0.84,0.82
1959,0.66,0.78,0.8,0.75,0.75,0.81,0.86,0.83,0.78,0.48,0.83,0.83
1960,0.65,0.77,0.82,0.74,0.73,0.8,0.85,0.83,0.78,0.46,0.82,0.81
1961,0.58,0.76,0.81,0.73,0.73,0.8,0.84,0.83,0.76,0.45,0.83,0.8
1962,0.56,0.76,0.81,0.73,0.74,0.8,0.85,0.83,0.77,0.45,0.84,0.81
1963,0.56,0.77,0.82,0.73,0.73,0.8,0.85,0.83,0.77,0.43,0.84,0.82
1964,0.58,0.77,0.82,0.73,0.73,0.81,0.86,0.83,0.77,0.43,0.84,0.82
1965,0.54,0.78,0.82,0.74,0.76,0.82,0.86,0.83,0.78,0.43,0.84,0.82
1966,0.53,0.79,0.82,0.74,0.77,0.82,0.85,0.83,0.78,0.49,0.83,0.82
1967,0.59,0.79,0.81,0.73,0.73,0.81,0.84,0.82,0.77,0.55,0.82,0.82
1968,0.61,0.79,0.8,0.73,0.71,0.8,0.84,0.83,0.78,0.57,0.82,0.84
1969,0.6,0.79,0.8,0.73,0.7,0.8,0.84,0.83,0.78,0.57,0.81,0.83
1970,0.63,0.8,0.8,0.72,0.67,0.79,0.83,0.82,0.76,0.54,0.8,0.82
1971,0.6,0.79,0.79,0.72,0.67,0.8,0.83,0.82,0.77,0.5,0.8,0.82
1972,0.53,0.79,0.8,0.73,0.68,0.81,0.83,0.83,0.79,0.5,0.8,0.83
1973,0.54,0.79,0.81,0.73,0.68,0.82,0.84,0.83,0.78,0.5,0.79,0.82
1974,0.54,0.78,0.8,0.73,0.66,0.81,0.84,0.82,0.77,0.48,0.79,0.79
