year,aircraft,appliances,blast,durgoods,electronics,forge,foundry,furniture,motor,ordnance,ship,transport
1958,1.6,2.5,2.6,2.7,2.2,3.2,2.8,2.4,5.3,1,9.6,3.2
1959,1.5,2.2,0.4,2,1,1.9,1.7,1.8,5.1,0.7,9.1,3.8
1960,1.7,2.8,3.5,2.5,1.9,2.7,2.7,2.1,4.2,0.9,8.8,7
1961,1.3,2.1,1.5,2.2,1.7,3.3,2,2.1,4.5,0.7,8.6,3.8
1962,1,1.8,2.8,1.9,1.5,1.4,1.4,1.8,3.4,0.9,7.9,3.5
1963,1.1,1.4,1.7,1.7,2.1,1.2,1.2,1.6,2.4,1.2,8.2,2.8
1964,1.2,1.2,0.5,1.5,1.7,1.2,0.9,1.3,2.2,1.8,7.7,2.6
1965,0.7,1.2,1.3,1.2,0.8,0.5,0.7,1,2.7,0.8,5.8,2.4
1966,0.3,0.8,0.5,1,0.6,0.3,0.9,0.8,3.2,0.4,4.8,3
1967,5,1.1,0.9,1.3,1.6,0.8,1.1,1.1,3.3,0.7,5.4,1.9
1968,0.7,0.8,1.4,1.1,1,0.5,0.9,0.8,2.6,0.7,4.6,1.5
1969,1,0.7,0.3,1.1,0.8,0.6,0.7,0.7,2.9,1.2,3.7,2.3
1970,2.2,1.3,1.2,2,2.3,2.1,2,1.4,4,2.3,4.6,2.5
1971,1.9,1.7,3,1.6,1.2,1.6,1.4,1.1,2.4,1.7,5.3,1.5
1972,9,0.9,0.8,1,0.6,0.5,0.8,0.7,1.9,0.7,4.2,1.4
1973,0.7,0.7,0.4,0.7,0.4,0.3,0.4,0.7,1.2,1,3.3,2.4
1974,0.5,1.9,0.7,1.5,1.4,0.5,0.7,1.7,3.9,1,2.2,4.9
